Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
20,213200,100,589,Y,1706,4376,175000,175000,0.389854,Active,non-default,FL,"40,171",1
20,242900,90,647,Y,10267,41069,70000,69500,0.249994,Active,non-default,IL,"45,787",1
20,249350,95,529,Y,770,2279,79000,77500,0.337867,Active,non-default,TN,"38,550",1
21,20000,100,640,N,3023,8500,309000,299000,0.355647,Pay-off,non-default,OR,"42,617",0
21,29100,97,723,N,2743,8335,291000,290600,0.329094,Active,non-default,IL,"45,787",0
21,46500,100,695,N,3895,7609,332000,326555,0.511894,Pay-off,non-default,VA,"53,275",0
21,59900,100,789,N,4513,7739,232000,231990,0.58315,Pay-off,non-default,CA,"49,894",0
21,65000,100,750,N,2414,7575,202000,200400,0.31868,Active,non-default,MO,"43,988",0
21,65000,100,782,N,2979,6283,158000,156000,0.474137,Pay-off,non-default,MD,"56,763",0
21,65000,100,725,N,2143,6583,319000,319000,0.325535,Pay-off,non-default,MD,"56,763",0
21,66400,100,607,N,1876,8300,349900,125000,0.226024,Pay-off,non-default,FL,"40,171",0
21,67070,99,684,N,2240,7611,160000,146797,0.294311,Active,non-default,SC,"39,326",0
21,70800,100,692,N,1108,4429,151000,149900,0.250169,Active,non-default,MI,"44,476",0
21,74650,97,700,N,2634,6870,235000,235000,0.383406,Pay-off,non-default,IL,"45,787",0
21,75000,100,632,N,1846,8092,481000,481000,0.228127,Pay-off,non-default,MA,"52,354",0
21,83125,95,670,Y,3084,5429,343000,340015,0.56806,Active,non-default,VA,"53,275",0
21,84050,95,561,N,2457,6306,189000,189000,0.389629,Pay-off,non-default,IL,"45,787",0
21,84882,95,731,N,569,37128,67500,66000,0.015325,Pay-off,non-default,NC,"39,000",1
21,85000,100,715,N,3286,5844,158000,156000,0.562286,Active,non-default,IL,"45,787",0
21,88900,100,771,N,2204,8000,345000,344900,0.2755,Active,non-default,CA,"49,894",0
21,89900,100,768,N,2778,7576,304000,303775,0.366684,Pay-off,non-default,IL,"45,787",0
21,94000,100,690,Y,2463,7000,230000,230000,0.351857,Pay-off,non-default,NJ,"56,772",0
21,95000,100,596,N,1851,4398,180000,180000,0.420873,Pay-off,non-default,MI,"44,476",0
21,95000,100,710,N,4190,6804,256000,254900,0.615814,Pay-off,non-default,GA,"43,217",0
21,101270,95,721,N,1759,5388,67100,65000,0.326466,Active,non-default,GA,"43,217",1
21,101500,100,687,N,1381,7350,219500,200000,0.187891,Active,non-default,NC,"39,000",0
21,103750,100,656,Y,2334,7170,179000,179000,0.325523,Pay-off,non-default,NY,"44,228",0
21,113800,100,710,N,1812,5258,195500,195126,0.344618,Active,non-default,IL,"45,787",0
21,118000,100,757,N,1472,5541,185000,185000,0.265656,Active,non-default,IL,"45,787",0
21,121500,90,619,N,1902,4376,155000,154900,0.434644,Active,non-default,MA,"52,354",0
21,122350,97,810,Y,2085,7591,245000,245000,0.274667,Pay-off,non-default,CA,"49,894",0
21,124000,90,771,N,882,4014,139500,136041,0.219731,Pay-off,non-default,FL,"40,171",0
21,125000,100,735,N,3675,6478,233000,232500,0.567305,Pay-off,non-default,CO,"51,022",0
21,125500,100,615,Y,1681,6088,156000,156000,0.276117,Pay-off,non-default,MD,"56,763",0
21,130000,100,632,N,2388,5000,222000,212150,0.4776,Active,non-default,GA,"43,217",0
21,134500,100,679,N,1848,4166,148000,145000,0.443591,Active,non-default,TX,"41,275",0
21,141000,95,656,N,2477,6515,118000,118000,0.3802,Active,non-default,FL,"40,171",1
21,144600,100,691,N,2579,5233,212000,207400,0.492834,Active,non-default,AL,"38,111",0
21,145800,89,728,N,4044,4840,158000,158000,0.835537,Active,non-default,KS,"43,725",0
21,145850,99,654,N,1509,6092,157000,149958,0.247702,Active,non-default,GA,"43,217",0
21,152800,95,573,N,5622,5623,242000,235000,0.999822,Active,non-default,FL,"40,171",0
21,161000,100,674,N,995,4784,145000,145000,0.207985,Active,non-default,CA,"49,894",1
21,183589,100,779,N,1507,3080,129000,125000,0.489286,Active,non-default,LA,"35,523",1
21,202240,100,648,N,1283,3109,110000,110000,0.412673,Active,non-default,KY,"37,396",1
21,220875,95,701,N,1437,2568,125000,125000,0.559579,Active,non-default,FL,"40,171",1
21,235000,100,598,Y,2461,3841,145000,148000,0.640719,Pay-off,non-default,FL,"40,171",1
21,267750,87,625,N,1163,36447,139000,110000,0.031909,Active,non-default,NC,"39,000",1
22,33000,100,660,N,1741,8500,182000,33000,0.204824,Active,non-default,TX,"41,275",0
22,42750,95,608,N,1826,6816,172000,172000,0.267899,Pay-off,non-default,FL,"40,171",0
22,43500,100,757,N,0,8000,275000,275000,0,Active,non-default,NY,"44,228",0
22,47000,100,602,Y,2342,7500,345000,295900,0.312267,Active,non-default,NJ,"56,772",0
22,48000,100,554,N,2439,6660,166000,165419,0.366216,Active,non-default,SC,"39,326",0
22,49999,100,761,N,0,6800,107000,106934,0,Pay-off,non-default,FL,"40,171",0
22,50300,93,702,N,1458,4593,186000,50300,0.31744,Pay-off,non-default,VA,"53,275",0
22,53500,100,701,N,1970,6482,289556,53500,0.303919,Pay-off,non-default,MD,"56,763",0
22,55000,100,766,Y,2457,8506,220000,220000,0.288855,Active,non-default,WA,"48,688",0
22,56163,97,676,N,2824,5135,266000,261906,0.549951,Pay-off,non-default,FL,"40,171",0
22,58200,97,767,N,1518,6737,183000,172500,0.225323,Active,non-default,NC,"39,000",0
22,65472,100,561,N,3749,7955,316000,316000,0.471276,Default,default,GA,"43,217",0
22,68000,100,555,N,1309,6067,120000,113042,0.215757,Active,non-default,GA,"43,217",0
22,68900,100,671,Y,4566,8302,350000,336000,0.549988,Pay-off,non-default,GA,"43,217",0
22,69350,95,745,N,713,6000,110000,69350,0.118833,Active,non-default,MO,"43,988",0
22,69500,100,739,N,3174,8215,327000,326500,0.386366,Pay-off,non-default,CA,"49,894",0
22,70750,95,569,Y,3107,8333,291000,289000,0.372855,Active,non-default,TX,"41,275",0
22,71360,100,731,N,2158,7185,302000,71360,0.300348,Pay-off,non-default,VA,"53,275",0
22,72500,100,731,Y,2706,7822,264000,264000,0.345947,Active,non-default,AL,"38,111",0
22,73000,100,768,N,2903,7288,314000,299900,0.398326,Pay-off,non-default,VA,"53,275",0
22,75500,100,669,N,2530,7330,255000,255000,0.345157,Pay-off,non-default,VA,"53,275",0
22,75900,100,729,N,2877,6091,355000,355000,0.472336,Pay-off,non-default,MD,"56,763",0
22,76663,97,784,N,1909,4957,171000,170000,0.385112,Active,non-default,IL,"45,787",0
22,77300,90,773,N,1382,7567,250000,250000,0.182635,Pay-off,non-default,WI,"47,220",0
22,80750,95,674,N,1958,3560,145000,145275,0.55,Active,non-default,AL,"38,111",0
22,84245,102,623,N,3399,4916,170000,168001,0.691416,Active,non-default,WA,"48,688",0
22,86900,100,681,N,1157,6000,170000,170000,0.192833,Default,default,CA,"49,894",0
22,92000,100,606,Y,2685,5314,105698,105698,0.505269,Active,non-default,TX,"41,275",0
22,93275,100,722,N,2548,6123,209000,209000,0.416136,Pay-off,non-default,CA,"49,894",0
22,94000,100,655,N,2074,7100,205000,205000,0.292113,Pay-off,non-default,AR,"33,948",0
22,95933,97,772,N,1047,6092,130000,130000,0.171865,Active,non-default,OH,"44,160",0
22,98900,100,655,N,1699,7123,199000,190000,0.238523,Active,non-default,WA,"48,688",0
22,100395,97,659,N,1502,5778,132000,131000,0.259952,Active,non-default,MA,"52,354",0
22,112400,97,676,N,2624,4915,239000,229037,0.533876,Active,non-default,OH,"44,160",0
22,112500,88,675,N,2134,6994,145000,139900,0.305119,Active,non-default,TX,"41,275",0
22,113600,80,637,N,1853,6077,211000,210440,0.30492,Active,non-default,VA,"53,275",0
22,115000,100,592,N,2834,6760,200000,200000,0.419231,Active,non-default,MI,"44,476",0
22,118000,100,660,Y,708,4971,95500,95000,0.142426,Active,non-default,GA,"43,217",1
22,120000,100,619,Y,1299,3227,146000,145000,0.402541,Active,non-default,CO,"51,022",0
22,121500,90,759,N,1676,5680,176000,176000,0.29507,Active,non-default,NV,"46,984",0
22,124800,85,723,N,1075,3664,170000,170000,0.293395,Pay-off,non-default,MD,"56,763",0
22,128250,100,696,N,2033,5233,197000,197000,0.388496,Active,non-default,MN,"55,914",0
22,130500,95,577,Y,2357,4548,158000,155000,0.51825,Pay-off,non-default,TX,"41,275",0
22,131900,80,670,N,1665,6500,230000,131900,0.256154,Pay-off,non-default,FL,"40,171",0
22,135000,79,721,N,1084,3751,79700,77000,0.28899,Pay-off,non-default,TX,"41,275",1
22,135000,90,657,N,2073,5641,165000,165000,0.367488,Pay-off,non-default,MD,"56,763",0
22,139500,90,620,Y,4926,33000,242000,230000,0.149273,Pay-off,non-default,TX,"41,275",0
22,146500,100,650,Y,2126,3865,136000,135000,0.550065,Pay-off,non-default,AL,"38,111",1
22,155159,100,660,Y,684,2262,92000,89500,0.302387,Active,non-default,LA,"35,523",1
22,165000,100,776,Y,1546,4569,132000,132000,0.338367,Active,non-default,OH,"44,160",1
22,165000,100,755,N,1187,3506,148000,148000,0.338562,Active,non-default,WA,"48,688",1
22,176000,80,761,N,3958,33667,166000,159901,0.117563,Active,non-default,MI,"44,476",1
22,179600,100,660,N,832,2500,100000,97000,0.3328,Active,non-default,WA,"48,688",1
22,182500,100,641,N,2194,4877,292000,290027,0.449867,Active,non-default,CA,"49,894",0
22,261374,90,659,N,700,2597,85000,78000,0.269542,Pay-off,non-default,AZ,"42,590",1
22,261600,80,745,Y,2036,3524,169000,169000,0.577753,Active,non-default,FL,"40,171",1
22,291000,97,717,N,1728,3070,122000,121117,0.562866,Default,default,GA,"43,217",1
22,304000,95,723,N,2525,4301,174000,169464,0.587073,Active,non-default,SC,"39,326",1
23,38000,100,701,N,3183,8480,230000,199310,0.375354,Active,non-default,TX,"41,275",0
23,40000,100,699,N,2361,8300,289000,284000,0.284458,Pay-off,non-default,CA,"49,894",0
23,42750,95,651,Y,2994,7107,195000,195000,0.421275,Pay-off,non-default,AZ,"42,590",0
23,44900,90,757,N,2528,5417,170000,164001,0.466679,Pay-off,non-default,IL,"45,787",0
23,46800,90,497,N,2535,7410,340000,339000,0.342105,Pay-off,non-default,CA,"49,894",0
23,48000,89,745,N,2036,5689,290000,290000,0.357884,Active,non-default,CA,"49,894",0
23,48600,90,603,N,1178,31900,79500,78900,0.036928,Active,non-default,NC,"39,000",0
23,52500,100,761,N,600,6793,113000,113000,0.088326,Active,non-default,NV,"46,984",0
23,53000,100,661,N,1708,8000,160000,146000,0.2135,Pay-off,non-default,TX,"41,275",0
23,55100,95,777,N,2320,4141,130000,115000,0.560251,Active,non-default,MD,"56,763",0
23,60800,80,694,N,2055,8000,322000,315000,0.256875,Active,non-default,MD,"56,763",0
23,62000,89,720,N,2937,6200,266000,266000,0.47371,Active,non-default,CA,"49,894",0
23,62000,97,772,N,1585,6731,184000,183059,0.235478,Pay-off,non-default,FL,"40,171",0
23,62300,100,558,N,2149,6665,102000,98500,0.322431,Active,non-default,PA,"44,286",0
23,63200,100,756,N,2151,8530,286000,278000,0.252169,Pay-off,non-default,VA,"53,275",0
23,64600,95,609,N,2455,5417,170000,167855,0.453203,Active,non-default,FL,"40,171",0
23,64700,88,681,N,1406,6000,145000,145000,0.234333,Pay-off,non-default,NJ,"56,772",0
23,64990,97,607,N,3824,7866,206000,202488,0.486143,Pay-off,non-default,GA,"43,217",0
23,69600,80,667,N,1199,4254,88000,79501,0.281852,Pay-off,non-default,OR,"42,617",0
23,70700,70,757,N,2268,6842,177000,176045,0.331482,Active,non-default,OH,"44,160",0
23,72750,97,668,N,2230,4680,157500,157451,0.476496,Pay-off,non-default,IL,"45,787",0
23,76900,95,691,N,0,8250,350000,76900,0,Active,non-default,CA,"49,894",0
23,78450,100,750,N,1449,7192,134900,134900,0.201474,Active,non-default,AL,"38,111",0
23,78500,84,736,N,2906,7567,184000,175133,0.384036,Active,non-default,TX,"41,275",0
23,80300,100,729,N,2945,7247,275000,275000,0.406375,Pay-off,non-default,CA,"49,894",0
23,82000,100,770,Y,985,4683,142000,142000,0.210335,Active,non-default,TN,"38,550",0
23,84900,100,752,N,1702,3417,156000,150615,0.498098,Active,non-default,NJ,"56,772",0
23,84900,100,658,N,2507,7170,235000,235000,0.349651,Active,non-default,WA,"48,688",0
23,85000,100,646,N,2819,6793,150000,148422,0.414986,Active,non-default,GA,"43,217",0
23,86000,100,747,N,2159,6000,212500,198000,0.359833,Active,non-default,FL,"40,171",0
23,87920,80,787,N,1427,5000,230000,87920,0.2854,Pay-off,non-default,MD,"56,763",0
23,90400,100,689,N,4963,7797,105000,104095,0.636527,Pay-off,non-default,TX,"41,275",0
23,91200,80,663,Y,4717,7500,207000,194000,0.628933,Pay-off,non-default,TX,"41,275",0
23,91248,102,626,Y,1887,3500,137000,134900,0.539143,Default,default,FL,"40,171",0
23,92000,100,725,N,1647,4984,143150,143150,0.330457,Pay-off,non-default,FL,"40,171",0
23,92050,95,758,N,1808,6088,225000,221500,0.296978,Active,non-default,WA,"48,688",0
23,92150,95,803,N,950,4718,140000,150000,0.201357,Active,non-default,AL,"38,111",0
23,92750,100,729,N,2992,6431,100000,98000,0.465246,Pay-off,non-default,IL,"45,787",0
23,95000,100,677,N,2579,6583,295000,295000,0.391767,Pay-off,non-default,VA,"53,275",0
23,96000,80,746,Y,1707,6985,145000,144495,0.244381,Active,non-default,SC,"39,326",0
23,96900,95,764,N,1894,3901,189800,189800,0.485517,Active,non-default,OH,"44,160",0
23,98325,95,663,N,1605,6320,185000,184000,0.253956,Pay-off,non-default,TX,"41,275",0
23,99300,100,768,Y,1816,4420,108000,107500,0.41086,Active,non-default,OH,"44,160",0
23,101350,100,743,N,2044,7377,256000,250000,0.277077,Pay-off,non-default,MA,"52,354",0
23,101850,100,705,N,2561,7954,204000,203035,0.321976,Pay-off,non-default,MI,"44,476",0
23,102300,97,774,N,1872,5336,225000,225000,0.350825,Pay-off,non-default,CA,"49,894",0
23,103530,102,732,N,1189,5250,210000,103530,0.226476,Pay-off,non-default,CA,"49,894",0
23,106000,100,660,Y,1957,4276,160000,160770,0.457671,Active,non-default,FL,"40,171",0
23,106000,100,697,N,4134,7167,435000,435000,0.57681,Default,default,NY,"44,228",0
23,106000,100,628,Y,1689,4765,154000,143450,0.35446,Pay-off,non-default,IL,"45,787",0
23,106700,97,624,Y,1319,4333,133000,132500,0.304408,Pay-off,non-default,MO,"43,988",0
23,108000,100,646,Y,2165,5500,106000,100700,0.393636,Active,non-default,NY,"44,228",1
23,108600,97,741,N,1291,3960,110000,109500,0.32601,Active,non-default,AZ,"42,590",0
23,112500,90,679,Y,2385,5287,80000,80000,0.451106,Pay-off,non-default,CT,"55,970",1
23,113420,100,650,Y,2408,5447,170000,170000,0.442078,Pay-off,non-default,OR,"42,617",0
23,114000,92,773,Y,2207,5820,145000,143900,0.37921,Active,non-default,AL,"38,111",0
23,117954,100,710,N,2181,5666,255000,242837,0.384928,Active,non-default,TX,"41,275",0
23,119900,100,759,N,1354,3375,136000,135000,0.401185,Active,non-default,FL,"40,171",0
23,119900,80,751,N,2340,5700,175000,175000,0.410526,Pay-off,non-default,FL,"40,171",0
23,123000,100,668,N,2247,6500,390000,123000,0.345692,Pay-off,non-default,CA,"49,894",0
23,124600,80,794,N,1442,3800,250000,234950,0.379474,Active,non-default,CA,"49,894",0
23,126100,97,606,Y,3247,6461,206000,206000,0.502554,Active,non-default,IL,"45,787",0
23,126700,90,766,Y,2995,5208,242000,236500,0.575077,Active,non-default,TX,"41,275",0
23,131800,99,684,Y,2002,4333,184000,184000,0.462036,Pay-off,non-default,FL,"40,171",0
23,132000,100,688,N,2823,6759,147000,139900,0.417665,Pay-off,non-default,ID,"42,519",0
23,132250,100,794,N,1766,4657,164000,163660,0.379214,Pay-off,non-default,GA,"43,217",0
23,134100,90,764,N,2811,6106,173000,172382,0.460367,Active,non-default,GA,"43,217",0
23,135350,95,702,N,2639,5819,154000,154000,0.453514,Pay-off,non-default,GA,"43,217",0
23,139500,95,587,Y,1526,5340,95000,87500,0.285768,Active,non-default,AR,"33,948",1
23,139562,102,746,N,998,5000,125000,124158,0.1996,Pay-off,non-default,AZ,"42,590",1
23,141400,100,634,N,2587,4684,194000,160000,0.552306,Pay-off,non-default,IL,"45,787",0
23,144150,85,675,N,1517,3628,122000,122500,0.418137,Active,non-default,FL,"40,171",1
23,146400,80,641,N,0,5375,170000,169900,0,Pay-off,non-default,FL,"40,171",0
23,148000,80,770,N,1764,3308,305000,305000,0.533253,Pay-off,non-default,CA,"49,894",0
23,152000,100,689,N,877,5250,132000,132000,0.167048,Active,non-default,TX,"41,275",1
23,153250,95,720,Y,1417,2773,97000,96900,0.510999,Active,non-default,NV,"46,984",1
23,155000,100,674,N,1757,5453,227000,227000,0.322208,Active,non-default,MS,"33,659",0
23,155000,95,634,N,675,2182,62000,53445,0.309349,Pay-off,non-default,FL,"40,171",1
23,160250,100,694,N,2540,5833,255000,245000,0.435453,Active,non-default,LA,"35,523",0
23,161000,100,718,N,1435,2998,106000,105500,0.478652,Active,non-default,FL,"40,171",1
23,161373,93,587,N,2298,4093,225000,225000,0.561446,Active,non-default,FL,"40,171",0
23,164000,100,757,N,2006,4275,335000,335000,0.46924,Active,non-default,MD,"56,763",0
23,165800,100,639,N,2926,4167,135000,135000,0.702184,Active,non-default,OH,"44,160",1
23,167000,85,734,N,1063,4500,141500,140000,0.236222,Pay-off,non-default,CO,"51,022",1
23,168900,100,595,N,685,2800,98000,98000,0.244643,Active,non-default,AL,"38,111",1
23,184500,100,630,Y,975,2321,129000,119000,0.420078,Active,non-default,SC,"39,326",1
23,187150,95,622,Y,1500,27243,155000,154900,0.05506,Pay-off,non-default,FL,"40,171",1
23,189000,90,649,N,1271,2554,169000,162000,0.497651,Pay-off,non-default,IN,"43,003",1
23,191900,100,747,N,0,5025,315000,315000,0,Pay-off,non-default,CA,"49,894",0
23,210000,100,792,N,2785,5084,230000,228400,0.547797,Active,non-default,WI,"47,220",0
23,219000,96,684,N,571,3156,64000,63900,0.180925,Pay-off,non-default,SC,"39,326",1
23,224900,100,704,Y,1329,3000,110000,105791,0.443,Active,non-default,GA,"43,217",1
23,237500,95,603,Y,967,3552,138000,134555,0.272241,Active,non-default,GA,"43,217",1
23,245000,100,759,N,1525,5562,127000,125000,0.274182,Active,non-default,PA,"44,286",1
23,253150,100,743,N,1122,3000,148000,147010,0.374,Active,non-default,GA,"43,217",1
23,277650,90,705,N,12467,29000,440000,440000,0.429897,Active,non-default,NY,"44,228",0
23,299250,95,620,N,1460,2304,97000,96400,0.633681,Active,non-default,GA,"43,217",1
23,310700,98,670,N,2545,5025,390000,390000,0.5065,Default,default,NY,"44,228",0
24,31000,100,719,N,2240,6000,250000,250000,0.373333,Pay-off,non-default,CA,"49,894",0
24,34650,74,733,N,1985,5931,135000,135000,0.334682,Pay-off,non-default,IA,"43,042",0
24,46500,100,696,N,1346,4330,180000,178100,0.310855,Pay-off,non-default,GA,"43,217",0
24,47500,97,784,N,2058,6591,246000,245900,0.312244,Pay-off,non-default,MN,"55,914",0
24,48500,97,651,N,2299,6499,246000,244000,0.353747,Active,non-default,MN,"55,914",0
24,54100,98,669,N,2260,7556,308000,308000,0.2991,Pay-off,non-default,IL,"45,787",0
24,59500,85,652,N,2988,8413,287000,256440,0.355165,Pay-off,non-default,NJ,"56,772",0
24,63050,97,620,N,0,5950,345000,345000,0,Pay-off,non-default,NY,"44,228",0
24,65000,100,693,N,1602,7875,145000,144450,0.203429,Active,non-default,MI,"44,476",0
24,65000,100,723,Y,1839,6000,163000,162092,0.3065,Pay-off,non-default,AZ,"42,590",0
24,67000,100,642,N,3665,7829,346000,345468,0.468131,Active,non-default,CA,"49,894",0
24,67000,100,723,Y,3127,8319,167000,158890,0.375887,Pay-off,non-default,NJ,"56,772",0
24,69000,100,627,N,5119,6981,250000,249991,0.733276,Active,non-default,CA,"49,894",0
24,70000,100,597,Y,1678,5627,166000,165000,0.298205,Active,non-default,IL,"45,787",0
24,70034,97,770,N,2217,8356,265000,259800,0.265318,Pay-off,non-default,CA,"49,894",0
24,72000,100,695,Y,2268,2430,87000,87000,0.933333,Active,non-default,TX,"41,275",0
24,75000,100,694,N,1797,6706,146000,146000,0.267969,Active,non-default,TN,"38,550",0
24,75000,100,665,N,2105,5206,158000,157000,0.404341,Pay-off,non-default,IL,"45,787",0
24,78375,95,625,N,1768,6300,255000,252000,0.280635,Pay-off,non-default,MN,"55,914",0
24,79500,100,734,N,2960,6342,315000,291000,0.46673,Active,non-default,CO,"51,022",0
24,79900,100,704,Y,2686,7604,156000,155500,0.353235,Active,non-default,VA,"53,275",0
24,80750,95,738,N,1462,6400,187000,80750,0.228438,Pay-off,non-default,OR,"42,617",0
24,81500,100,753,N,1368,5000,184900,184900,0.2736,Active,non-default,VA,"53,275",0
24,83000,100,725,N,1896,8027,390000,83000,0.236203,Pay-off,non-default,CA,"49,894",0
24,84000,80,508,Y,1220,2480,120000,119500,0.491935,Active,non-default,NC,"39,000",0
24,85000,100,639,N,2016,5000,286000,250000,0.4032,Pay-off,non-default,GA,"43,217",0
24,85410,90,609,N,1130,3726,95000,95000,0.303274,Active,non-default,OH,"44,160",0
24,85500,95,712,N,0,6583,335000,335000,0,Pay-off,non-default,NJ,"56,772",0
24,87000,100,529,Y,1934,4058,117000,114500,0.476589,Active,non-default,TX,"41,275",0
24,87200,80,754,N,1145,5000,158000,155000,0.229,Pay-off,non-default,GA,"43,217",0
24,90000,100,684,N,1991,7019,195000,190000,0.283659,Active,non-default,CO,"51,022",0
24,91150,100,697,N,2249,6740,240000,240000,0.33368,Active,non-default,NY,"44,228",0
24,91700,100,769,Y,1692,6122,222000,197555,0.27638,Pay-off,non-default,VA,"53,275",0
24,93000,100,669,Y,1618,3786,140000,135870,0.427364,Active,non-default,FL,"40,171",0
24,95000,95,617,N,1682,3227,114000,108400,0.521227,Pay-off,non-default,FL,"40,171",0
24,96850,100,737,N,1081,5500,138000,130000,0.196545,Pay-off,non-default,WA,"48,688",0
24,99470,102,600,Y,1147,3313,132000,131500,0.346212,Pay-off,non-default,AZ,"42,590",0
24,100800,80,788,Y,1231,4304,134000,127900,0.286013,Active,non-default,NC,"39,000",0
24,102600,95,678,N,0,5354,183000,172781,0,Active,non-default,AZ,"42,590",0
24,104000,100,623,Y,2351,4657,252000,248196,0.504831,Active,non-default,NC,"39,000",0
24,105450,95,671,N,2435,5600,300000,300000,0.434821,Active,non-default,CA,"49,894",0
24,107150,97,757,N,2022,5000,295000,265000,0.4044,Pay-off,non-default,CA,"49,894",0
24,107488,102,748,N,2149,3609,134000,134000,0.595456,Active,non-default,FL,"40,171",0
24,107500,100,594,N,1976,7000,190000,189767,0.282286,Active,non-default,GA,"43,217",0
24,109700,98,741,N,1277,7347,169500,169500,0.173812,Pay-off,non-default,AZ,"42,590",0
24,109900,100,695,N,958,6500,180000,180000,0.147385,Active,non-default,CA,"49,894",0
24,111450,97,717,N,1963,6044,150000,149900,0.324785,Pay-off,non-default,MI,"44,476",0
24,112000,100,754,N,1553,6061,160000,160000,0.256228,Active,non-default,FL,"40,171",0
24,113650,95,683,Y,2263,5037,250000,249900,0.449275,Active,non-default,MD,"56,763",0
24,114650,100,736,N,1754,7575,205000,170179,0.231551,Active,non-default,OK,"38,281",0
24,116300,97,730,N,2624,7600,262500,262151,0.345263,Pay-off,non-default,CA,"49,894",0
24,117800,95,680,Y,2220,5776,275000,270300,0.384349,Pay-off,non-default,NY,"44,228",0
24,118500,93,666,N,1199,6000,183949,183845,0.199833,Pay-off,non-default,MD,"56,763",0
24,119000,100,775,Y,1239,6581,159000,158500,0.188269,Pay-off,non-default,IA,"43,042",0
24,119000,93,626,N,1746,4208,175000,175000,0.414924,Pay-off,non-default,FL,"40,171",0
24,119850,98,642,Y,2296,5678,183000,182000,0.404368,Pay-off,non-default,IL,"45,787",0
24,119900,100,679,N,1482,5533,164500,164500,0.267847,Active,non-default,CA,"49,894",0
